Dsu1,Dsu2,Dsu3,Dsu4,Dsu5,msu1,msu2,msu3,msu4,msu5,mu1d,mu2d,mu3d,mu4d,mu5d,output
0.36151,0.8495,0.97705,0.43227,0.4007,2,1,1,1,2,2,2,3,1,3,5
0.12394,0.0092299,0.7177,0.37,0.49284,2,1,3,3,3,2,3,3,2,3,5
0.089923,0.40156,0.34187,0.5286,0.5881,1,3,3,1,3,2,2,1,2,1,2
0.65382,0.67333,0.21266,0.7737,0.32634,3,1,1,3,1,1,3,2,2,2,4
0.68499,0.31547,0.52682,0.39501,0.16087,3,1,2,2,1,2,1,1,1,1,1
0.83997,0.47494,0.81663,0.04336,0.50079,3,3,3,2,3,1,1,2,3,1,3
0.81968,0.96671,0.29803,0.96973,0.63956,1,3,3,3,2,3,3,3,1,2,5
0.051596,0.13812,0.55946,0.27851,0.31221,2,1,2,3,3,2,2,3,3,3,3
0.98906,0.70847,0.31333,0.45299,0.28699,2,3,3,2,1,3,1,3,1,2,2
0.78065,0.11461,0.66647,0.67806,0.22894,2,3,3,2,3,1,1,3,2,2,3
0.84603,0.55,0.61293,0.76925,0.88277,2,1,2,2,2,1,2,3,1,2,3
0.24589,0.88473,0.51582,0.12252,0.36031,3,1,1,3,3,2,1,2,2,3,5
0.64837,0.87078,0.50583,0.33953,0.28839,3,3,3,2,2,3,3,2,1,1,1
0.55824,0.5896,0.016158,0.46715,0.030652,2,1,3,2,2,3,3,3,3,3,4
0.55365,0.70821,0.28305,0.59355,0.80567,2,3,1,1,2,3,1,2,1,1,1
0.75039,0.40656,0.60389,0.49333,0.4264,2,1,3,1,2,2,2,1,1,1,3
0.12313,0.11968,0.67656,0.90979,0.52003,1,3,3,2,3,2,1,1,1,2,5
0.47756,0.92386,0.16398,0.9036,0.80476,2,1,1,1,2,2,2,2,1,3,1
0.53126,0.1129,0.35937,0.18937,0.096166,2,3,2,2,3,1,1,1,3,3,1
0.30629,0.83896,0.3145,0.94439,0.079927,3,3,2,3,3,2,3,3,1,2,3
0.56747,0.82653,0.24018,0.62475,0.40749,3,3,3,3,1,1,1,2,1,2,2
0.63806,0.077611,0.18771,0.2747,0.56427,2,2,3,3,3,1,1,1,1,1,1
0.79412,0.936,0.064528,0.068099,0.023712,2,1,3,2,1,3,1,1,3,1,1
0.22036,0.39747,0.9783,0.73763,0.010505,2,2,3,1,1,2,2,2,3,3,2
0.024742,0.80159,0.8649,0.25417,0.89238,1,3,1,3,3,2,2,1,2,2,2
0.45377,0.074061,0.4468,0.80098,0.72776,3,2,3,3,2,2,3,2,2,3,1
0.41703,0.81091,0.69326,0.92573,0.63065,1,2,3,2,1,3,2,2,3,2,3
0.96854,0.7624,0.22924,0.2887,0.6796,3,2,3,2,2,2,2,2,1,1,5
0.31944,0.34081,0.6984,0.75881,0.8304,3,3,1,1,2,2,3,1,3,1,2
0.71455,0.39613,0.74049,0.31162,0.75615,2,3,2,2,1,2,2,2,1,2,2
0.019347,0.59484,0.2742,0.88589,0.93551,1,3,1,3,1,2,2,1,2,2,2
0.74682,0.53941,0.12704,0.71841,0.85905,1,2,3,3,3,1,2,1,1,2,2
0.25222,0.44269,0.14571,0.50357,0.58446,1,2,1,3,1,2,2,2,2,1,4
0.80322,0.91838,0.22373,0.62344,0.11841,2,3,2,1,3,3,1,1,1,1,2
0.69487,0.62481,0.70407,0.67637,0.37106,3,1,1,3,2,3,1,3,2,2,4
0.36493,0.88697,0.4862,0.7711,0.54533,3,2,2,1,2,3,1,3,3,2,3
0.84531,0.36773,0.43085,0.50377,0.48106,1,1,3,2,2,1,2,2,3,2,4
0.66079,0.9714,0.46547,0.42606,0.48083,1,3,1,2,2,1,2,1,2,1,4
0.79948,0.29672,0.037238,0.060915,0.88634,1,1,3,2,1,2,3,1,2,1,2
0.72537,0.62979,0.0982,0.86324,0.22216,2,3,3,2,3,1,3,3,1,2,2
0.29245,0.50984,0.085586,0.061097,0.93184,2,2,3,1,3,1,2,1,3,2,2
0.47554,0.95766,0.52726,0.41495,0.0025206,3,1,2,2,1,1,2,3,2,2,3
0.84833,0.50148,0.96398,0.28252,0.0099546,1,2,2,2,3,2,2,3,3,1,2
0.46645,0.32514,0.084161,0.98563,0.08982,2,2,3,2,2,2,2,2,1,1,1
0.67197,0.97743,0.69929,0.13244,0.46655,3,2,1,2,2,1,1,1,2,1,1
0.59351,0.14148,0.36456,0.18063,0.21654,3,2,1,3,2,1,1,3,1,3,3
0.35146,0.74005,0.61721,0.91635,0.1436,3,3,2,1,2,1,2,1,1,1,2
0.061205,0.16432,0.34382,0.33845,0.14026,3,1,1,1,2,3,3,1,1,3,2
0.37555,0.51125,0.88698,0.37027,0.99176,1,3,3,1,1,2,2,1,2,1,2
0.6945,0.77058,0.93942,0.382,0.59048,2,2,2,1,2,1,1,1,3,1,4
0.41981,0.90259,0.37922,0.055881,0.11265,2,2,3,3,3,3,1,1,2,3,1
0.073067,0.52094,0.14154,0.011832,0.76692,2,2,1,2,1,1,2,2,2,3,2
0.7124,0.6809,0.28758,0.23191,0.63136,1,1,1,1,1,2,1,2,2,2,3
0.0079873,0.06758,0.63798,0.036632,0.18211,3,1,3,2,1,1,1,3,2,3,3
0.2489,0.46274,0.28278,0.5557,0.2713,1,1,1,2,1,2,2,2,2,2,4
0.18141,0.78787,0.80811,0.48511,0.43929,2,2,2,3,2,2,3,3,1,3,5
0.14565,0.70255,0.01179,0.10097,0.65089,2,3,3,2,1,2,1,1,1,2,2
0.22139,0.69998,0.12989,0.84287,0.48862,3,3,1,1,1,2,2,1,3,3,2
0.61706,0.44591,0.39334,0.56422,0.36765,2,3,2,2,2,2,3,2,1,3,2
0.10858,0.62856,0.13308,0.30796,0.097552,2,1,2,1,1,1,3,1,2,1,4
0.58754,0.1144,0.61067,0.1336,0.36977,1,1,2,1,3,1,2,3,2,3,5
0.035912,0.6796,0.086615,0.087879,0.7261,1,1,2,2,2,3,1,1,2,1,5
0.43244,0.79217,0.025808,0.89755,0.52045,3,1,3,2,2,2,3,2,1,2,5
0.3766,0.27995,0.9749,0.47104,0.97745,1,3,3,2,2,1,2,3,3,3,4
0.91105,0.94406,0.91004,0.47783,0.22568,3,1,1,2,3,2,1,3,2,3,4
0.49114,0.43315,0.83419,0.77541,0.75136,3,1,3,3,3,2,1,2,3,1,1
0.37382,0.62745,0.56305,0.42648,0.37388,3,1,3,1,2,3,1,1,1,3,1
0.29025,0.038302,0.63906,0.026841,0.1922,1,2,3,2,1,1,1,1,3,2,3
0.0039773,0.81885,0.26004,0.75526,0.57994,3,1,3,1,1,1,1,2,1,2,5
0.20353,0.66011,0.28492,0.63041,0.11627,3,1,3,1,3,3,3,1,2,2,1
0.75962,0.29063,0.43241,0.0052899,0.079297,1,2,2,3,3,1,2,3,1,1,3
0.92596,0.60248,0.18057,0.60581,0.7517,3,3,1,2,1,3,1,3,2,1,4
0.89963,0.45558,0.60475,0.28585,0.22114,3,3,3,2,3,1,1,1,2,2,3
0.95779,0.387,0.32665,0.95596,0.51625,2,1,3,1,2,3,1,2,3,2,5
0.78124,0.94625,0.1837,0.63912,0.79563,1,1,2,3,3,1,3,1,2,1,4
0.91754,0.063011,0.94519,0.75449,0.73118,2,1,2,1,3,3,3,1,1,1,5
0.57281,0.53877,0.71014,0.91236,0.4783,1,3,1,2,2,3,3,3,1,1,2
0.33172,0.94057,0.065453,0.80365,0.44666,2,2,2,2,3,2,2,1,2,3,5
0.77743,0.39206,0.86779,0.76968,0.55929,1,1,3,3,3,1,2,3,2,1,4
0.87945,0.97166,0.51798,0.38746,0.35597,1,1,1,3,3,1,2,1,2,2,4
0.12941,0.16233,0.084009,0.56297,0.96364,2,1,1,1,2,1,3,2,1,3,2
0.57803,0.52561,0.98672,0.17298,0.21298,3,3,1,2,1,1,1,1,3,2,1
0.93925,0.8667,0.22707,0.97997,0.35695,1,2,1,3,1,3,3,3,1,3,5
0.48805,0.74067,0.8744,0.88505,0.85596,1,3,1,2,1,2,3,3,1,2,2
0.38992,0.4761,0.25106,0.74572,0.74063,1,3,3,1,2,2,3,3,2,2,2
0.18331,0.16781,0.17414,0.67711,0.62669,3,3,3,2,2,2,1,3,1,3,5
0.74834,0.76525,0.38246,0.57072,0.65196,1,3,3,3,3,3,1,3,2,2,5
0.092906,0.63375,0.2289,0.87209,0.49753,3,1,3,2,1,2,2,3,2,2,3
0.16219,0.2734,0.88692,0.93956,0.48797,1,1,1,2,2,2,2,2,1,3,5
0.41124,0.62546,0.54267,0.59333,0.93548,2,2,1,3,2,3,1,1,2,3,4
0.85836,0.23471,0.45833,0.99145,0.7615,3,2,1,1,3,3,1,3,3,2,5
0.65798,0.12018,0.49235,0.40041,0.31024,3,1,3,1,2,1,2,1,2,2,1
0.42968,0.87957,0.60716,0.51186,0.88476,2,1,2,2,2,2,1,3,3,3,4
0.00055655,0.01905,0.037713,0.55271,0.7645,2,1,2,2,1,1,2,3,1,2,4
0.67545,0.27922,0.21761,0.15234,0.97934,1,2,2,1,2,2,3,3,2,2,2
0.93684,0.86673,0.43288,0.039303,0.024936,3,1,3,2,1,2,1,1,2,1,1
0.59397,0.11892,0.16613,0.068203,0.25902,2,2,1,3,1,1,3,1,1,3,5
0.52101,0.35818,0.39554,0.94014,0.73668,3,1,1,2,2,3,2,1,3,2,1
0.11178,0.79593,0.54648,0.75078,0.83644,3,2,2,1,2,3,2,1,3,3,2
0.89557,0.75134,0.17884,0.65203,0.61242,2,1,2,1,3,2,1,1,3,1,5
0.3647,0.11991,0.56423,0.32977,0.41452,3,2,3,3,2,1,1,2,1,1,3
0.023277,0.42146,0.80541,0.66559,0.86143,1,3,3,2,1,2,3,1,2,1,2
0.4738,0.90655,0.069704,0.66146,0.60401,1,2,1,3,1,2,3,3,2,1,4
0.64566,0.78913,0.52529,0.59832,0.56283,1,3,3,2,2,3,2,1,1,2,5
0.20929,0.018623,0.19921,0.94614,0.40772,1,3,1,1,2,1,2,2,3,2,5
0.36385,0.20293,0.15632,0.41516,0.39475,3,2,3,1,2,2,1,2,2,2,5
0.48059,0.50851,0.58755,0.44911,0.8112,3,1,2,2,3,3,3,2,3,2,1
0.54622,0.50808,0.34017,0.052694,0.18594,2,3,3,2,1,2,1,1,1,3,1
0.27396,0.93977,0.020123,0.75741,0.23994,1,3,3,3,2,2,3,2,3,3,4
0.097246,0.21969,0.80196,0.3466,0.93133,3,3,1,2,3,3,3,2,3,1,4
0.25215,0.27952,0.69686,0.83446,0.50689,2,1,3,3,3,1,1,1,3,1,3
0.017878,0.84525,0.8916,0.40269,0.42189,2,1,3,1,2,1,3,1,3,1,4
0.91574,0.2244,0.75859,0.72559,0.33777,2,3,1,1,1,2,2,1,3,3,5
0.06097,0.4409,0.060379,0.14367,0.24758,3,2,1,3,2,2,2,1,1,3,2
0.069182,0.65671,0.097128,0.78363,0.22971,3,2,3,1,2,1,2,2,2,1,2
0.88956,0.90484,0.31474,0.72657,0.43651,1,3,1,3,1,2,1,3,2,2,4
0.21416,0.43623,0.99184,0.5343,0.84655,1,3,2,1,1,3,2,2,1,1,2
0.26802,0.15752,0.64089,0.85494,0.41009,1,3,1,3,3,2,2,1,1,2,5
0.38426,0.8962,0.79738,0.53226,0.95223,1,1,3,2,2,3,3,3,2,3,4
0.22554,0.33585,0.56411,0.96734,0.12558,3,1,3,2,3,3,2,3,1,2,3
0.11755,0.87485,0.49514,0.32675,0.28009,1,3,1,1,3,3,3,1,3,2,4
0.50774,0.31938,0.31127,0.059322,0.34683,2,3,3,1,3,3,3,1,2,3,1
0.057934,0.27847,0.43836,0.69626,0.22337,2,3,3,1,2,1,1,1,3,1,3
0.27068,0.13621,0.14561,0.095086,0.77499,2,1,3,2,3,3,3,2,3,3,5
0.38504,0.56362,0.39711,0.77852,0.80193,2,2,2,3,3,2,3,3,1,3,3
0.55499,0.025349,0.018115,0.016331,0.36982,3,3,1,2,3,1,2,3,1,3,5
0.72227,0.062681,0.73091,0.8047,0.67449,3,3,1,2,1,3,2,1,2,2,1
0.56351,0.41856,0.37051,0.32838,0.19027,1,1,3,3,1,2,1,2,1,1,3
0.29979,0.37949,0.65042,0.66844,0.84249,1,1,2,3,3,3,1,2,3,2,4
0.98859,0.96096,0.12888,0.45038,0.63445,2,2,3,3,1,1,2,1,2,1,4
0.67758,0.60686,0.73645,0.53171,0.42392,2,1,1,3,3,2,1,1,3,2,4
0.25379,0.9281,0.66987,0.31481,0.70369,2,1,3,3,3,3,3,3,2,3,3
0.52922,0.020414,0.15693,0.90013,0.83308,3,3,3,3,2,1,2,3,2,3,4
0.97474,0.66896,0.91782,0.44823,0.86286,2,1,2,3,2,1,2,2,2,2,4
0.73886,0.4561,0.41758,0.28849,0.28522,2,2,3,3,1,3,3,2,3,1,2
0.6867,0.27209,0.91269,0.10883,0.10253,2,1,1,1,1,1,3,3,2,3,2
0.69034,0.31205,0.54906,0.53605,0.87167,2,2,1,3,2,3,3,1,1,3,2
0.69771,0.39789,0.7786,0.63729,0.53847,3,1,2,2,1,3,1,1,3,3,1
0.24222,0.17223,0.075797,0.81592,0.92628,1,1,3,1,2,2,2,1,2,2,1
0.78316,0.85706,0.69466,0.033531,0.85641,2,1,1,2,1,1,1,2,1,1,1
0.28823,0.77106,0.8342,0.91632,0.5224,3,3,2,3,2,1,2,1,2,1,2
0.068138,0.41494,0.0098319,0.9932,0.20061,1,2,3,1,2,1,3,3,3,1,2
0.39536,0.65195,0.96075,0.84729,0.77096,3,2,1,1,3,1,1,1,2,3,5
0.25064,0.36733,0.34381,0.54229,0.40167,1,2,1,1,1,2,3,2,2,2,2
0.018566,0.22346,0.13667,0.92034,0.3651,3,1,1,1,3,3,2,2,3,2,5
0.32671,0.92128,0.69622,0.71533,0.75152,1,2,2,2,3,1,1,1,2,3,5
0.44658,0.6437,0.64399,0.26145,0.70106,1,3,1,1,3,1,2,2,3,2,2
0.45767,0.63886,0.10179,0.92426,0.54795,2,1,2,1,3,1,2,1,2,3,5
0.2765,0.15142,0.47642,0.89901,0.21084,2,2,3,1,3,2,3,1,2,2,1
0.60689,0.21184,0.73798,0.0039838,0.78573,1,2,1,3,2,3,3,3,2,3,5
0.7026,0.78869,0.209,0.61709,0.23784,3,1,3,1,1,1,1,3,2,3,1
0.59905,0.99875,0.41294,0.7958,0.94248,3,3,3,1,1,3,1,3,3,2,1
0.917,0.8512,0.46496,0.32532,0.40774,3,2,1,1,2,3,1,2,3,1,4
0.22639,0.8292,0.26487,0.70363,0.19546,1,3,1,2,3,1,2,3,1,2,2
0.7904,0.92555,0.92637,0.60239,0.38011,2,1,1,3,3,1,2,3,1,1,4
0.33437,0.82023,0.15261,0.251,0.86074,2,1,1,1,2,2,1,1,2,3,1
0.63458,0.27733,0.74479,0.90539,0.59458,3,1,2,2,3,1,1,2,1,2,5
0.63484,0.071524,0.54227,0.569,0.20431,1,2,3,2,1,1,1,2,1,1,3
0.98825,0.60529,0.86957,0.58081,0.30232,2,1,1,2,3,2,1,1,3,2,4
0.59063,0.15251,0.37493,0.56331,0.46899,3,3,3,2,2,3,2,1,1,3,1
0.68977,0.76387,0.06235,0.34358,0.57941,3,1,1,2,2,3,2,2,3,3,1
0.58032,0.030755,0.45123,0.47771,0.98958,3,1,2,3,2,2,3,3,3,3,4
0.46114,0.22647,0.18519,0.25347,0.88638,3,2,1,2,2,2,2,2,1,2,1
0.45186,0.0060711,0.8995,0.54326,0.40839,2,2,2,3,1,3,1,1,1,2,1
0.36251,0.20105,0.49783,0.065373,0.58561,3,2,3,3,3,1,2,3,1,3,5
0.1356,0.86151,0.37992,0.96379,0.17049,2,1,2,3,3,1,3,1,1,3,4
0.11317,0.85379,0.63405,0.84824,0.023563,2,3,2,3,3,3,3,3,3,1,3
0.4278,0.95489,0.072492,0.72608,0.31549,3,1,1,1,1,3,2,3,3,3,1
0.9415,0.21987,0.025167,0.80026,0.15448,2,1,3,3,3,3,2,2,3,2,4
0.40521,0.37022,0.64265,0.97365,0.080605,3,1,2,3,2,1,2,3,1,3,3
0.68041,0.88625,0.050971,0.4404,0.92793,2,1,3,3,2,2,3,2,3,2,4
0.30848,0.76895,0.81581,0.27254,0.17484,3,1,2,3,3,1,1,3,1,1,3
0.77088,0.15258,0.80797,0.11646,0.84756,3,3,1,2,1,3,1,3,2,2,1
0.34459,0.78259,0.87639,0.74159,0.18113,1,1,1,3,3,3,2,1,2,2,4
0.0094239,0.23658,0.46546,0.070472,0.72704,2,2,3,3,2,3,3,1,1,1,5
0.5206,0.13773,0.21579,0.15418,0.53733,1,3,1,3,2,1,1,3,1,2,5
0.24348,0.2755,0.21307,0.093829,0.21681,3,2,1,2,2,2,2,3,2,2,3
0.66975,0.61257,0.15568,0.47066,0.38266,2,3,2,3,2,2,3,1,1,1,2
0.86477,0.41186,0.13969,0.80792,0.4484,3,3,1,1,1,1,2,2,1,3,2
0.54842,0.95861,0.82989,0.59136,0.56085,3,1,1,1,2,2,3,2,2,3,1
0.82747,0.56296,0.27641,0.49784,0.27441,2,2,3,1,1,1,1,2,2,2,4
0.12957,0.70379,0.37031,0.17894,0.58888,3,2,2,1,2,1,2,2,2,1,2
0.9908,0.67926,0.029304,0.84453,0.35004,1,2,2,1,3,3,2,1,1,3,5
0.39889,0.31607,0.58607,0.12677,0.95025,3,2,3,2,2,1,3,1,1,1,2
0.29014,0.52731,0.51463,0.25343,0.48575,3,2,2,1,3,1,2,3,1,2,3
0.47609,0.88129,0.51215,0.6639,0.49668,1,3,3,3,3,1,2,3,1,3,3
0.11841,0.88676,0.25853,0.84341,0.93621,2,1,3,2,1,1,3,3,2,3,3
0.26163,0.5309,0.11382,0.32492,0.49381,2,2,3,3,2,3,1,3,2,2,5
0.88533,0.61831,0.6101,0.23562,0.33049,2,3,2,2,1,1,1,2,2,1,3
0.57466,0.19515,0.77706,0.93232,0.43049,2,1,2,1,1,3,1,2,3,1,1
0.15676,0.32268,0.64153,0.49597,0.69363,2,1,3,2,2,3,1,1,3,3,4
0.4452,0.27999,0.88547,0.67133,0.22864,3,1,1,3,3,2,2,3,3,1,4
0.28663,0.20343,0.61457,0.076515,0.93391,2,3,2,2,3,1,2,3,2,2,3
0.22277,0.54182,0.39515,0.40933,0.37109,1,3,1,1,1,2,2,1,2,2,2
0.78862,0.12625,0.47683,0.3463,0.031862,3,1,3,1,2,3,2,3,2,3,3
0.034002,0.97602,0.37767,0.52702,0.50864,3,1,2,2,3,3,1,3,2,3,5
0.35129,0.77711,0.70178,0.46774,0.96944,3,1,2,2,3,1,3,1,2,1,4
0.0025241,0.03578,0.80102,0.14285,0.28727,1,1,3,1,1,3,2,3,2,2,3
0.73645,0.66585,0.36388,0.42138,0.75594,3,2,3,3,1,2,3,1,1,3,1
0.62223,0.87195,0.1378,0.64681,0.82154,1,3,3,3,1,1,2,3,1,1,4
0.55029,0.16494,0.19503,0.82324,0.37161,3,1,1,2,1,2,1,3,1,2,1
0.5055,0.83093,0.58612,0.55489,0.35903,3,2,2,2,2,1,1,3,3,2,4
0.74633,0.21224,0.37222,0.95655,0.9336,2,3,3,3,2,3,2,1,1,2,1
0.68546,0.77904,0.76108,0.50299,0.80998,3,3,2,3,1,1,3,3,1,2,2
0.093603,0.53943,0.99232,0.69598,0.04364,3,1,1,1,2,3,3,1,1,2,2
0.73251,0.67588,0.70878,0.15436,0.28754,1,3,1,1,1,3,1,1,2,3,2
0.77822,0.89717,0.95576,0.42204,0.39598,3,1,1,2,1,2,3,3,2,2,1
0.24174,0.6627,0.20146,0.61363,0.043253,1,2,2,1,2,2,2,1,1,1,2
0.72962,0.26846,0.12249,0.55388,0.53196,3,3,1,3,3,1,1,3,3,3,5
0.23936,0.81103,0.93473,0.56619,0.7307,2,1,2,1,1,2,2,1,1,1,4
0.63696,0.329,0.1253,0.76129,0.095474,3,3,1,1,3,1,3,1,3,3,2
0.14492,0.21018,0.42378,0.037233,0.81375,3,2,3,1,3,2,2,1,3,3,5
0.36396,0.93708,0.42649,0.65658,0.40077,3,3,3,2,2,3,1,1,1,3,5
0.1979,0.034096,0.27713,0.1213,0.15152,2,1,2,3,1,1,2,2,1,1,3
0.80819,0.45142,0.84249,0.72373,0.2182,3,2,3,3,2,3,1,2,3,3,4
0.51668,0.30623,0.7341,0.77009,0.73643,3,2,3,3,1,3,2,3,2,1,1
0.15728,0.85925,0.52198,0.12342,0.27382,1,3,2,2,2,1,3,1,2,3,5
0.13728,0.29218,0.1494,0.74001,0.98399,3,3,2,2,2,1,3,1,3,3,2
0.90974,0.29768,0.57562,0.2238,0.22801,1,3,2,1,2,3,2,1,1,2,3
0.044839,0.49244,0.4848,0.12176,0.44538,3,1,2,1,2,1,2,3,2,2,3
0.12584,0.54297,0.26008,0.91016,0.86828,3,1,3,2,2,3,2,2,2,2,2
0.15191,0.52915,0.57118,0.25986,0.010423,2,2,3,3,2,1,2,2,1,1,3
0.23921,0.24005,0.77983,0.60198,0.65918,2,3,1,2,3,3,3,2,1,2,5
0.84521,0.82783,0.325,0.64063,0.35331,3,3,3,3,2,3,2,2,3,2,4
0.80995,0.95685,0.80349,0.69405,0.41772,1,2,1,2,1,2,2,1,1,1,4
0.75143,0.45034,0.21069,0.30084,0.79874,2,1,2,3,1,2,2,1,3,3,4
0.41866,0.31186,0.17519,0.53908,0.84907,2,2,2,1,1,2,1,1,2,3,1
0.64735,0.70196,0.40084,0.42057,0.33782,3,1,1,2,3,2,2,2,1,1,1
0.9883,0.28637,0.7855,0.79735,0.17423,3,3,3,1,1,2,1,1,3,2,3
0.37048,0.1594,0.81414,0.82913,0.53394,1,1,2,2,2,1,3,1,1,3,5
0.42968,0.94569,0.75665,0.70515,0.78118,1,1,3,3,1,1,3,2,1,1,3
0.87797,0.57275,0.090914,0.086178,0.98144,3,2,2,3,2,2,1,1,1,2,1
0.19858,0.79729,0.96111,0.94045,0.26235,2,2,1,1,1,1,2,2,3,1,2
0.67576,0.60138,0.6964,0.98445,0.59068,3,3,1,3,1,3,2,3,3,2,2
0.71031,0.51583,0.072383,0.52799,0.8759,2,2,2,1,2,1,1,1,2,3,1
0.89609,0.46141,0.48796,0.72523,0.58781,2,2,1,1,3,3,1,2,1,1,5
0.92383,0.89861,0.038392,0.40957,0.80558,2,3,2,3,3,2,3,2,1,1,5
0.1538,0.19488,0.75359,0.81763,0.055306,1,2,2,3,1,1,2,2,1,3,4
0.28029,0.029615,0.3746,0.93018,0.40076,2,1,1,3,3,2,3,1,2,2,5
0.67548,0.88842,0.75503,0.27639,0.075507,2,1,2,2,1,3,2,2,2,1,1
0.030308,0.93895,0.031762,0.66391,0.51573,1,1,3,3,1,3,1,2,1,2,4
0.80893,0.55364,0.60267,0.62241,0.081017,3,1,2,1,2,3,2,1,1,2,1
0.73726,0.33315,0.34155,0.85748,0.25524,2,2,1,3,1,2,2,3,2,2,3
0.64172,0.65899,0.13166,0.23252,0.79007,3,2,1,2,2,2,2,2,1,3,1
0.74331,0.3038,0.56172,0.22699,0.40166,2,3,3,2,3,1,1,2,2,3,3
0.5233,0.30099,0.83528,0.91459,0.56756,1,2,1,2,2,3,3,2,3,3,5
0.36256,0.088359,0.26643,0.099336,0.5804,2,2,3,3,1,2,1,2,3,2,1
0.56616,0.65306,0.89192,0.73381,0.056305,1,2,3,1,1,1,3,2,3,3,2
0.026653,0.49767,0.32246,0.85157,0.058906,3,3,3,2,2,2,3,1,3,3,2
0.61563,0.89329,0.65699,0.73351,0.89255,1,3,1,2,2,3,3,2,3,1,4
0.93246,0.94635,0.28539,0.72526,0.676,2,1,3,1,1,2,1,2,2,2,3
0.30876,0.65322,0.91687,0.10565,0.16514,3,3,2,1,3,3,3,2,2,1,2
0.10736,0.54847,0.68644,0.55518,0.43435,2,2,3,3,3,2,1,3,3,1,4
0.035418,0.12911,0.82869,0.5823,0.54212,1,2,3,3,2,2,2,1,3,1,4
0.8499,0.88206,0.60569,0.36395,0.27727,2,1,3,1,2,1,3,1,1,3,5
0.73143,0.69597,0.73243,0.62714,0.70796,1,2,3,1,2,2,2,3,1,3,3
0.037789,0.25617,0.85907,0.38197,0.99908,3,2,2,3,1,2,2,1,2,1,4
0.8279,0.42602,0.15882,0.82825,0.52643,3,2,3,3,3,3,2,2,2,1,2
0.14326,0.82563,0.26856,0.33428,0.40851,1,2,2,3,2,1,2,2,1,3,5
0.090933,0.60102,0.82597,0.81787,0.93981,3,1,1,2,3,3,1,2,1,3,4
0.89719,0.43918,0.80636,0.11949,0.30172,3,1,1,3,1,1,2,3,3,3,5
0.41377,0.76855,0.39632,0.92168,0.97818,3,1,3,1,2,2,3,1,2,1,1
0.61702,0.93974,0.69484,0.16188,0.061501,3,1,2,1,2,2,1,1,1,3,1
0.7799,0.6967,0.18285,0.94072,0.93234,1,1,2,3,1,3,2,3,2,1,4
0.92736,0.8947,0.592,0.11573,0.32354,1,3,1,2,1,3,3,1,3,3,5
0.76195,0.13095,0.80159,0.06289,0.11972,3,1,2,1,1,1,1,2,1,2,1
0.62387,0.84422,0.39464,0.85641,0.75649,1,1,1,1,2,1,1,3,2,3,3
0.28422,0.59932,0.76,0.034458,0.36616,1,1,1,1,1,2,2,3,3,3,5
0.79503,0.30647,0.44691,0.51426,0.017212,1,3,3,1,1,3,2,3,1,3,3
0.14128,0.95338,0.46372,0.30012,0.87062,1,3,3,1,3,1,3,3,2,2,3
0.69477,0.35332,0.44844,0.4557,0.66577,3,1,2,2,2,2,2,3,3,3,3
0.29263,0.11811,0.20291,0.46011,0.90806,1,1,1,3,2,2,3,2,3,3,4
0.62341,0.49754,0.22553,0.85895,0.87202,3,1,2,3,3,1,2,2,3,2,4
